제목,날짜,URL,내용
｢예금자보호법 시행령｣ 일부개정령(안) 입법예고,2023-06-26,https://www.fsc.go.kr/po040301/view?noticeId=3895&curPage=13&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◉ 금융위원회공고 제2023-179호

  ｢예금자보호법 시행령｣을 개정함에 있어 그 개정이유와 주요 내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 행정절차법 제41조에 따라 다음과 같이 공고합니다.
2023년 6월 26일
금융위원회 위원장


｢예금자보호법 시행령｣ 일부개정령안 입법예고


1. 개정이유

     노후소득보장 및 사회보장적 성격이 강한 일부 예금에 대하여 현행확정기여형(DC형) 및 개인형(IRP) 퇴직연금 상품의 예금과 같이 일반 예금과 분리하여 별도로 예금자보호법 제32조제2항에 따른 보험금의 지급한도(이하 '보호한도')를 적용하여 예금자를 보다 두텁게 보호하려는 것임


2. 주요내용

   가. 별도 보호한도를 적용 중인 퇴직연금 상품에 '중소기업퇴직연금기금'추가(안 제3조제4항, 제18조제3항 및 제7항제1호가목)
  -   '22년 4월 신설된 중소기업퇴직연금기금에 따른 예금등 채권에 대해서도 기존 확정기여형(DC형) 및 개인형(IRP) 퇴직연금과 동일하게 가입자(근로자)별로 일반 예금과 분리하여 별도로 보호한도를 적용하도록 함

   나. 연금저출에 대하나 별도 보호한도 적용(안 제18조제7항제1호나목)
  - 국민의 노후소득보장에 있어서 중요한 연금저축(신탁·보험)에 대해 일반 예금과 분리하여 별도로 보호한도를 적용하도록 함

   다. 보험상품 사고보험금에 대한 별도 보호한도 적용(안 제18조제7항제1호다목)
  - 보험약관에서 정한 지급사유가 발생했을 때 지급되는 사고보험금(만기보험금은 제외)에 대해 일반 예금과 분리하여 별도로 보호한도를 적용하도록 함 


3. 의견제출

  이 개정안에 대하여 의견이 있는 기관‧단체 또는 개인은 2023년 7월 3일까지 국민참여입법센터( http://opinion.lawmaking.go.kr)를 통하여 법령안을 확인한 후 의견을 제출하시거나, 다음 사항을 기재한 의견서를 금융위원회(참조 : 구조개선정책과)로 제출하여 주시기 바랍니다.
  가. 예고 사항에 대한 찬성 또는 반대 의견(반대 시 이유 명시)
  나. 성명(기관‧단체의 경우 기관‧단체명과 대표자명), 주소 및 전화번호
  다. 보내실 곳 : 금융위원회(구조개선정책과)
     ◦ 주소 : (03171) 서울시 종로구 세종대로 209 정부서울청사 
     ◦ 전화 : 02-2100-2903
     ◦ 팩스 : 02-2100-2919
     ◦ 이메일 : ncw1122@korea.kr
 
※ 자세한 사항은 금융위원회 홈페이지(www.fsc.go.kr/지식마당/법령정보/입법예고)를 참고하시기 바랍니다."
｢은행업감독규정｣ 일부개정규정(안) 규정변경 예고,2023-06-12,https://www.fsc.go.kr/po040301/view?noticeId=3894&curPage=13&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◉ 금융위원회공고 제2023-170호 

  ｢은행업감독규정｣을 개정함에 있어 그 개정이유와 주요 내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 행정절차법 제41조에 따라 ｢은행업감독규정 일부개정규정안｣을 다음과 같이 공고합니다.


2023년 6월 12일
금융위원회

 은행업감독규정 일부개정규정(안) 규정변경 예고

1. 개정이유 

  은행의 대주주 발행 지분증권 취득한도에 관한 규제를 개선하여 은행권의 벤처펀드 투자 활성화를 지원하고, 외국은행 국내지점에 대한 원화예대율 규제를 개선하여 외은지점의 기업대출 공급 여력 확충하며, 자본시장법과 공정거래법 개정 내용을 반영하고자 함 


2. 주요내용 


가. 은행의 벤처펀드 출자 규제개선(안 제16조의5)
 - 벤처투자조합·신기술사업투자조합에 대한 은행의 대주주 발행 비상장 지분증권 취득한도 상향(0.5%→1.0%)

나. 외국은행 국내지점에 대한 원화예대율 규제 개선(안 제26조)
 - 원화예대율 적용대상 기준 완화 : 원화대출금 2조원 이상 → 4조원 이상
 - 원화예수금 인정범위 확대 : 외국은행 국내지점의 본지점 장기차입금 전체와 본지점 단기차입금의 일부(본지점 장기차입금의 50% 한도)를 원화예대율 규제상 원화예수금으로 인정 

다. 자본시장법·공정거래법 개정 반영(안 제79조, 제81조)
 - 사모펀드 분류 변경에 따른 개정 : ‘경영참여형 사모펀드’의 정의·분류가 자본시장법 개정으로 변경되어은행업감독규정상 ‘경영참여형 사모펀드’가 인수한 기업집단의 주채무계열 선정 관련 조항을 자본시장법에 부합하도록 수정
 - 공정거래법 참조조항 개정 : 공정거래법 개정에 따라 계열 정의 등 주채무계열에서 준용하고 있는 공정거래법 조항 번호 변경(단, 내용은 동일)


3. 의견 제출


  이 감독규정 개정안에 대하여 의견이 있는 기관·단체 또는 개인은 2023년 6월 22일까지 다음 사항을 기재한 의견서를 금융위원회로 제출하여 주시기 바랍니다. 

  가. 예고사항에 대한 항목별 의견(찬․반 여부와 그 이유)

  나. 성명(기관·단체의 경우 기관·단체명과 대표자명), 주소 및 전화번호

  다. 그 밖의 기타 참고사항 등

 ※ 제출의견을 보내실 곳
   - 일반우편 : (03171) 서울시 종로구 세종대로 209, 정부서울청사 금융위원회 은행과
   - 전자우편(이메일) : jmlee1012@korea.kr 
   - 팩스 : 02-2100-2948


4. 그 밖의 사항

  개정안에 대한 자세한 사항은 금융위원회 은행과(전화 02-2100-2982)로 문의하여 주시기 바랍니다."
「금융투자업규정」 일부개정고시안 규정변경예고,2023-06-09,https://www.fsc.go.kr/po040301/view?noticeId=3893&curPage=13&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◎ 금융위원회 공고 제2023-169호

  ｢금융투자업규정｣을 개정함에 있어 그 개정이유와 주요 내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 행정절차법 제41조에 따라 다음과 같이 공고합니다.
2023년 6월 9일
금융위원회 위원장

｢금융투자업규정｣ 일부개정고시안 규정변경예고

1. 개정이유
  CFD(차액결제거래) 최소증거금률 규제를 규정에 명시하고, 개인전문투자자 지정절차를 강화하는 등 그간 제도 운영상의 미비점을 보완하려는 것임

2. 주요내용
가. 개인전문투자자 지정 신청 관련 서류의 유효기간 명시(제1-8조)
 개인전문투자자 지정 유효기간을 2년으로 명시하여, 증권사가 주기적으로 개인전문투자자 요건 충족 여부를 관리하도록 함

나. 종합금융투자사업자 해외현지법인의 기업신용공여시 순자본비율 위험값 완화 (제3-14조)
  종투사의 해외현지법인이 기업신용공여를 하는 경우 순자본비율 산정시 모회사인 종투사와 동일하게 거래상대방별 신용위험값을 적용할 수 있도록 함

다. 개인전문투자자 지정절차 강화(제4-20조)
  개인전문투자자 최초 지정시 대면 또는 영상통화를 통해 본인 여부를 확인하도록 하여 본인의사에 반하여 개인전문투자자로 지정되는 사례 발생을 방지

라. CFD(차액결제거래) 최소증거금률 명시 등 제도보완(제5-49조의2)
  금융감독원 행정지도로 운영중인 CFD 최소증거금률 규제를 금융투자업규정에 명시하는 한편, 증권사 신용공여 한도 내에서 거래할 수 있도록 하는 등 실질이 유사한 신용융자와 규제차익이 발생하지 않도록 제도정비

마. 개인의 장외파생상품 투자요건 강화(제5-49조의3)
  개인투자자 보호를 위해 개인전문투자자가 위험회피 목적 외의 장외파생상품거래를 하기 위해서는, 강화된 투자경험을 갖추도록 함


3. 의견제출
  이 개정안에 대하여 의견이 있는 기관‧단체 또는 개인은 2023년 6월 19일까지 다음 사항을 기재한 의견서를 금융위원회(참조 : 자본시장과)로 제출하여 주시기 바랍니다.
  가. 예고 사항에 대한 찬성 또는 반대 의견(반대 시 이유 명시)
  나. 성명(기관‧단체의 경우 기관‧단체명과 대표자명), 주소 및 전화번호
  다. 보내실 곳 : 금융위원회(자본시장과)
     ◦ 주소 : (03171) 서울시 종로구 세종대로 209 정부서울청사 
     ◦ 전화 : 02-2100-2644
     ◦ 팩스 : 02-2100-2679
     ◦ 이메일 : duswp412@korea.kr
 
※ 자세한 사항은 금융위원회 홈페이지(www.fsc.go.kr/지식마당/법령정보/입법예고)를 참고하시기 바랍니다."
「농어가목돈마련저축에 관한 법률 시행령」 일부개정령(안) 입법예고,2023-06-09,https://www.fsc.go.kr/po040301/view?noticeId=3892&curPage=14&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◉금융위원회공고 제2023-163호


「농어가목돈마련저축에 관한 법률 시행령」 일부개정령(안) 입법예고를 하는데 있어, 그 이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣기 위하여 ‘행정절차법’ 제 41조에 따라 다음과 같이 공고합니다.


2023년 06월 09일
금융위원회위원장

「농어가목돈마련저축에 관한 법률 시행령」 일부개정령(안) 입법예고


1. 개정이유

농어가목돈마련저축에 관한 법률 개정(법률 제19258호)에 따라 시행령에 위임된 농어민의 범위 등 관련 규정을 정비하고자 함


2. 주요내용

가. 농어가목돈마련저축의 가입기준 변경(안 제2조)
 - 現 시행령의 일반·저소득 가입기준은 법 개정으로 확대된 농어민에 적용하는데 한계가 있어 국민건강보험 제도를 활용하여 개정(건강보험료 기준으로 구분 등)

  ※ 부칙으로 기존 가입기준도 5년간 병행


3. 의견제출

 이 개정안에 대해 의견이 있는 기관․단체 또는 개인은 2023년 7월 19일까지 국민참여입법센터(http://opinion.lawmaking.go.kr)를 통하여 온라인으로 의견을 제출하시거나, 다음 사항을 기재한 의견서를 금융위원회 위원장에게 제출하여 주시기 바랍니다.


가. 예고 사항에 대한 찬성 또는 반대 의견(반대 시 이유 명시)

나. 성명(기관ᆞ단체의 경우 기관ᆞ단체명과 대표자명), 주소 및 전화번호

다. 그 밖의 참고 사항 등

※ 제출의견 보내실 곳
 - 일반우편 : 서울특별시 종로구 세종대로 209 금융위원회 은행과 (우편번호 03171)
 - 전자우편 : jmlee1012@korea.kr
 - 팩스 : (02) 2100 - 2948


4. 그 밖의 사항

개정안에 대한 자세한 사항은 금융위원회 은행과(전화 (02) 2100 - 2982, 팩스 (02) 2100 -2948)로 문의하여 주시기 바랍니다."
「보험업법 시행규칙」 일부개정령안 재입법예고,2023-06-07,https://www.fsc.go.kr/po040301/view?noticeId=3891&curPage=14&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"▣ 금융위원회 공고 제2023-160호

 「보험업법 시행규칙」 일부를 개정함에 있어 그 개정이유와 주요 내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 행정절차법 제41조에 따라 다음과 같이「보험업법 시행규칙 일부개정령안」을 공고합니다.

                                                                                                                                                                                             2023년  6월  7일
                                                                                                                                                                                             금융위원회위원장

1. 개정이유

   2023년부터 책임준비금을 평가시점의 현재가치(시가)로 평가하는 보험계약 국제회계기준(이하 “IFRS17”)이 시행됨에 따라 「보험업법」 개정을 통해 계리적 가정의 검증 및 확인 업무를 수행하는 선임계리사의 권한, 독립성 보장 강화방안 등의 제도 개선이 추진되었으며, 이와 관련된 ｢보험업법 시행규칙｣상 조문들도 개정하려는 것임.

2. 주요 내용 

 가. 선임계리사 업무 범위 확대 (제44조)
   선임계리사의 업무에 계리적 최적가정의 검증․확인에 관한 사항을 추가하고자 함

 나. 선임계리사 제도 개선 (제45조)
  선임계리사를 해임하려는 경우 이사 총수의 3분의 2 이상의 찬성으로 이사회 의결을 통하도록 절차를 강화하고, 선임계리사의 최초 선임시 임기가 만료된 직후 재선임하고자 하는 경우에는 법 제181조 제3항에서 정한 선임 절차를 따르도록 하며, 선임계리사가 사임하고자 하는 경우 이사회에 참석하여 사임의사와 사임사유를 보고해야 하도록 절차를 강화

3. 의견제출

  이 개정안에 대하여 의견이 있는 단체 또는 개인은 2023년 6월 21일까지 통합입법예고센터(http://opinion.lawmaking.go.kr)를 통하여 법령안을 확인한 후 의견을 제출하시거나, 다음 사항을 기재한 의견서를 금융위원회(참조:보험과, 전화 : 02-2100-2965, 팩스 : 02-2100-2933, 이메일: soonsiee@korea.kr)로 제출하여 주시기 바랍니다. 

  가. 입법예고사항에 대한 의견(찬성 또는 반대 의견과 그 사유 및 기타 참고사항)
  나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호
  다. 보내실 곳
    - 금융위원회 보험과(주소 :우 03171 서울특별시 종로구 세종대로 209) 

※ 자세한 사항은 금융위원회 홈페이지(www.fsc.go.kr/법령정보/입법예고)를 참고하시기 바랍니다."
｢퇴직연금감독규정｣ 일부개정규정안 규정변경예고,2023-06-02,https://www.fsc.go.kr/po040301/view?noticeId=3890&curPage=14&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◎ 금융위원회 공고 제2023-152호

｢퇴직연금감독규정｣을 개정함에 있어 그 개정이유와 주요 내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 행정절차법 제41조에 따라 다음과 같이 공고합니다.

2023년 6월 2일
금융위원회 위원장

｢퇴직연금감독규정｣ 일부개정고시안 규정변경예고

1. 개정이유
 퇴직연금 운용규제를 개선하여 보다 유연한 적립금 운용을 지원하고 퇴직연금 사업자 등에 대한 규율을 강화하여 불건전 영업 관행을 개선하고 금융안정을 제고하고자 함

2. 주요내용
 가. 확정기여형퇴직연금제도 및 개인형퇴직연금제도의 이해상충 규제 합리화(안 제10조)
     근로자가 직접 운용하는 확정기여형퇴직연금제도와 개인형퇴직연금제도의 계열회사 증권 편입한도 상향
 나. 확정급여형퇴직연금제도에서 편입 가능한 동일인 발행 특수채·지방채 한도 상향(안 제13조)
     우량한 장기 자산의 편입 한도를 상향하여 퇴직급여와 퇴직연금 적립금 간 현금흐름 일치 전략 지원
 다. “투자위험을 낮춘 상품”의 범위 확대(안 제11조)
     퇴직연금 적립금의 100분의 100까지 편입 가능한 “투자위험을 낮춘 상품”에 국채·통안채 등을 담보로 한 익일물 환매 조건부매수계약과 단기금융집합투자기구 등을 추가
 라. 개인형퇴직연금제도에 보증형 실적배당보험 도입(안 제8조의3)
    근로자가 적립금을 연금 형태로 수령하도록 유도하는 정책적 유인 마련

3. 의견제출
 이 개정안에 대하여 의견이 있는 기관‧단체 또는 개인은 2023년 7월 2일까지 다음 사항을 기재한 의견서를 금융위원회(참조 : 자산운용과)로 제출하여 주시기 바랍니다.
  가. 예고 사항에 대한 찬성 또는 반대 의견(반대 시 이유 명시)
  나. 성명(기관‧단체의 경우 기관‧단체명과 대표자명), 주소 및 전화번호
  다. 보내실 곳 : 금융위원회(자산운용과)
      ◦ 주소 : (03171) 서울시 종로구 세종대로 209 정부서울청사
      ◦ 전화 : 02-2100-2963
      ◦ 팩스 : 02-2100-2679
      ◦ 이메일 : asset1234@korea.kr
※ 자세한 사항은 금융위원회 홈페이지(www.fsc.go.kr/지식마당/법령정보/입법예고)를 참고하시기 바랍니다."
「한국주택금융공사법 시행규칙」 일부개정령(안) 입법예고,2023-06-01,https://www.fsc.go.kr/po040301/view?noticeId=3889&curPage=14&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◎ 금융위원회 공고 제2023-150호

 「한국주택금융공사법 시행규칙」을 일부 개정함에 있어, 그 개정이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣기 위하여 「행정절차법」 제41조에 따라 다음과 같이 공고합니다.

 2023년 6월 1일
 금융위원회 위원장

「한국주택금융공사법 시행규칙」 일부개정령(안) 입법예고


1. 개정이유

  금융기관 비거치식 분할상환 및 고정금리 대출 등의 취급 확대를 유도하여 가계부채의 질적 개선 효과를 창출하고 주택금융의 장기적·안정적 공급에 이바지할 수 있도록, 금융기관 출연요율의 산정체계를 개선하기 위함


2. 주요내용

가. 주택금융신용보증기금 출연요율 관련 우대요율 확대:최대 0.06% → 0.10%(안 [별표1] 중 3.우대요율)
  - 금융기관이 주택금융을 공급할 때 비거치식 분할상환대출, 고정금리대출 등을 상대적으로 많이 취급하는 경우 출연요율을 감액해주는 “우대요율”의 폭을 기존 0.01～0.06%에서 0.01～0.10%으로 확대
  - 우대요율의 구체적인 산정방식 등을 시행규칙에 규정하여 우대요율 적용요건 및 우대수준 등 명확화

나. 주택담보노후연금보증계정 출연요율 관련 우대요율 확대:최대 0.06% → 0.10%(안 [별표2] 중 3.우대요율)
  - 주택금융신용보증기금과 동일하게 비거치식 분할상환대출, 고정금리대출 등을 상대적으로 많이 취급하는 금융기관에 대한 출연료 우대요율의 폭을 기존 0.01~0.06%에서 0.01~0.10%으로 확대
  - 우대요율의 구체적인 산정방식 등을 시행규칙에 규정하여 우대요율 적용요건 및 우대수준 등 명확화

다. 과오납 출연금의 정산에 대한 규정 법제화 (안 제7조)
  - 금융기관이 출연금을 실제 산정금액보다 많거나 적게 납부한 경우에는 다음 달 출연금에 해당 금액을 가감하여 납부하도록 하는 규정 법제화

3. 의견제출

  이 개정안에 대하여 의견이 있는 기관‧단체 또는 개인은 2023년 07월 11일까지 통합입법예고센터(http://opinion.lawmaking.go.kr)를 통하여 법령안을 확인한 후 의견을 제출하시거나, 다음 사항을 기재한 의견서를 금융위원회(거시금융팀)로 제출하여 주시기 바랍니다.

  가. 예고 사항에 대한 찬성 또는 반대 의견(반대 시 이유 명시)
  나. 성명(기관‧단체의 경우 기관‧단체명과 대표자명), 주소 및 전화번호
  다. 보내실 곳 : 금융위원회(거시금융팀)
     ◦ 주소 : (03171) 서울시 종로구 세종대로 209 정부서울청사 
     ◦ 전화 : 02-2100-1691
     ◦ 팩스 : 02-2100-1699
     ◦ 이메일 : jiho88@korea.kr

  ※ 자세한 사항은 금융위원회 홈페이지(www.fsc.go.kr / 지식마당 / 법령정보 / 입법예고)를 참고하시기 바랍니다."
은행업감독규정 등 5개 금융업권 감독규정 일부개정고시(안) 규정변경예고,2023-06-01,https://www.fsc.go.kr/po040301/view?noticeId=3888&curPage=14&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◎ 금융위원회공고 제2023-154호

 「은행업감독규정」,「상호저축은행업감독규정」,「상호금융업감독규정」,「보험업감독규정」,「여신전문금융업감독규정」을 일부 개정함에 있어 그 개정이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 행정절차법 제41조에 따라 다음과 같이 「은행업감독규정」,「상호저축은행업감독규정」,「상호금융업감독규정」,「보험업감독규정」,「여신전문금융업감독규정」을 공고합니다.

2023년 6월 1일 금융위원회

감독규정 일부개정규정안 규정변경예고

1. 개정이유

 전세사기 피해자 지원을 위한 ｢범부처 전세사기 피해자 지원 및 주거안정 지원방안｣(‘23.4.27.)에 따른 후속조치

2. 주요내용

 가. LTV
  ㅇ 경락대출 등 주택구입목적 주담대 LTV 완화
    - [일반] 비규제지역 LTV (1주택자) 70%, (다주택자) 60% → 80% 허용[경락] 낙찰가액 100% 대출가능

 나. DSR·DTI
  ㅇ 경락대출 등 주택구입목적 주담대 DSR·DTI 적용배제

3. 의견제출

  이 개정규정안에 대하여 의견이 있는 단체 또는 개인은 2023년 6월 12일까지 다음 사항을 기재한 의견서를 금융위원회(참조 : 거시금융팀, 전화 : 02-2100-1695, 팩스 : 02-2100-1699, 이메일 : fsc0748@korea.kr)로 제출하여 주시기 바랍니다.

  가. 입법예고사항에 대한 의견(찬성 또는 반대 의견과 그 사유 및 기타 참고사항)
  나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호
  다. 보내실 곳 : 금융위원회 거시금융팀(주소 : 03171 서울시 종로구 세종대로 209)

  ※ 자세한 사항은 금융위원회 홈페이지(www.fsc.go.kr/법령정보/입법예고)를 참고하시기 바랍니다."
신용협동조합법 시행령 일부개정령(안) 입법예고,2023-05-16,https://www.fsc.go.kr/po040301/view?noticeId=3887&curPage=14&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◉ 금융위원회공고 제2023-139호

  ｢신용협동조합법 시행령｣을 개정함에 있어 그 개정이유와 주요 내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 행정절차법 제41조에 따라 다음과 같이 공고합니다.
2023년 5월 17일
금융위원회 위원장


｢신용협동조합법 시행령｣ 일부개정령안 입법예고


1. 개정이유

     신용협동조합법 개정(법률 제19259호)에 따라 시행령에 위임된 조합의 비업무용 부동산 처분 방법 및 절차 관련 규정을 정비하고자 함


2. 주요내용

   가. 비업무용 부동산의 매각 절차 및 기한 (안 제18조 제3항, 제4항, 제5항)
  -  조합이 비업무용 부동산을 취득한 경우 한국자산관리공사에 매각을 위탁하거나 1년 이내 공개경쟁입찰 등으로 매각하여야 하며, 입찰이 유찰 또는 보류되는 경우 등에는 매각기한을 1년 연장할 수 있음

* 동 개정조항은 법률 개정에 따라 현행 상호금융업감독규정 제10조의 내용이 시행령으로 상향하여 규정되도록 조항을 정비하는 것으로 해당 내용은 현행 감독규정과 동일함


3. 의견제출

  이 개정안에 대하여 의견이 있는 기관‧단체 또는 개인은 2023년 6월 26일까지 국민참여입법센터( http://opinion.lawmaking.go.kr)를 통하여 법령안을 확인한 후 의견을 제출하시거나, 다음 사항을 기재한 의견서를 금융위원회(참조 : 중소금융과)로 제출하여 주시기 바랍니다.
  가. 예고 사항에 대한 찬성 또는 반대 의견(반대 시 이유 명시)
  나. 성명(기관‧단체의 경우 기관‧단체명과 대표자명), 주소 및 전화번호
  다. 보내실 곳 : 금융위원회(중소금융과)
     ◦ 주소 : (03171) 서울시 종로구 세종대로 209 정부서울청사 
     ◦ 전화 : 02-2100-2994
     ◦ 팩스 : 02-2100-2933
     ◦ 이메일 : leo00@korea.kr
 
※ 자세한 사항은 금융위원회 홈페이지(www.fsc.go.kr/지식마당/법령정보/입법예고)를 참고하시기 바랍니다."
상호금융업감독규정 일부개정고시(안) 규정변경예고,2023-05-15,https://www.fsc.go.kr/po040301/view?noticeId=3886&curPage=14&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◉ 금융위원회공고 제2023-142호

  「상호금융업감독규정」을 개정함에 있어  그 개정이유와 주요 내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 행정절차법 제41조에 따라 다음과 같이 공고합니다.

2023년 5월 15일
금융위원회 위원장


｢상호금융업감독규정｣ 일부개정고시안 규정변경예고


1. 개정이유

  상호금융업권의 건전성 제고를 위해 부동산ㆍ건설업에 대한 대손충당금을 제고하고, ‘21.10.29일 발표한 「금리인하요구제도 운영 개선방안」의 후속조치로서 조합의 금리인하요구권 비교공시에 대한 근거를 마련하며, 그 외 신용협동조합 중앙회의 경영개선권고 관련 규정 및 신용협동조합법 제45조 개정에 따른 하위규정을 정비하고자 함 



2. 주요내용

가. 신용예탁금 이자율 범위 기준 마련(안 제6조의4)
   신용협동중앙회가 조합으로부터 예치하여 운용하는 여유자금의 이자율 범위에 대한 규정 근거 마련 

나. 실적배당상품 운용기준 마련 (안 제6조의5)
   신용협동중앙회가 조합으로부터 예치한 여유자금중 일부를 실적배당상품으로 운용하고, 관련 실적을 금융감독원에 제출하도록 하는 근거 마련 

다. 비업무용부동산 매각 규정 상향(안 제10조)
   신용협동조합법 개정에 따라 현행 감독규정상 규정되어있는 비업무용 부동산 매각 관련 규정을 시행령으로 상향입법

라. 금리인하 비교공시 근거 마련(안 제10조의2제5항)
   조합의 금리인하요구권 운영실적을 각 상호금융업 중앙회의 인터넷 홈페이지에 비교ㆍ공시할 수 있도록 근거를 마련 

마. 대손충당금 요적립률 상향(안 제12조제1항제2호)
   상호금융조합의 부동산업 및 건설업에 대한 대손충당금 비율을 현행 100분의 100이상에서 100분의 130이상으로 상향

바. 경영개선권고 등의 조치 완화ㆍ면제 요건 추가(안 제20조의9제2항, 제3항)
   경영개선권고 등의 조치를 받은 신용협동조합중앙회가 경영상태가 개선되는 등의 경우 당초 경영개선권고 등의 조치를 완화ㆍ면제받을 수 있도록 함 

  

3. 의견제출

  이 개정안에 대하여 의견이 있는 기관‧단체 또는 개인은 2023년 5월 25일까지 법령안을 확인한 후 의견을 제출하시거나, 다음 사항을 기재한 의견서를 금융위원회(참조 : 중소금융과)로 제출하여 주시기 바랍니다.

  가. 예고 사항에 대한 찬성 또는 반대 의견(반대 시 이유 명시)
  나. 성명(기관‧단체의 경우 기관‧단체명과 대표자명), 주소 및 전화번호
  다. 그 밖의 참고 사항 등

※ 제출의견을 보내실 곳
- 일반우편 : 03171 서울시 종로구 세종대로 209 정부서울청사 금융위원회 
- 전자우편(이메일) : leo00@korea.kr
- 팩스 : 02-2100-2933
 

4. 그 밖의 사항

  기타 자세한 사항은 금융위원회 중소금융과(전화 : (02) 2100 - 2994)에 문의하여 주시기 바라며, 규정변경예고와 관련된 개정안은 금융위원회 홈페이지(www.fsc.go.kr/지식마당/법령정보/입법예고)를 참고하시기 바랍니다."
「금융투자업규정」 일부개정고시안 규정변경예고,2023-05-10,https://www.fsc.go.kr/po040301/view?noticeId=3884&curPage=14&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◎ 금융위원회 공고 제2023-134호

  ｢금융투자업규정｣을 개정함에 있어 그 개정이유와 주요 내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 행정절차법 제41조에 따라 다음과 같이 공고합니다.
2023년 5월 10일
금융위원회 위원장

｢금융투자업규정｣ 일부개정고시안 규정변경예고

1. 개정이유
  ’92년 도입 후 30여 년간 유지되어온 외국인 투자자 등록제도를 폐지하는 등 글로벌 투자자들이 우리 시장에 투자하는데 걸림돌이 되어온 규제들을 과감히 개선

2. 주요내용
가. 외국인 투자자 등록제 폐지(제6-10조, 제6-11조, 제6-12조 등)
 외국인 투자자 등록제도를 폐지하여 사전 등록절차 없이 외국인의 국내 상장증권 투자가 가능하도록 하고, 법인은 LEI*, 개인은 여권번호를 식별수단으로 하여 계좌정보를 관리
   * 법인에게 부여되는 표준화된 ID(Legal Entity Identifier) (’11년 G20 도입) 

나. 통합계좌* 활성화(제6-7조제8항)
  최종투자자별 즉시(T+2) 투자내역 보고의무를 폐지하여 통합계좌를 이용한 거래의 편의성을 높이고 사후관리 체계를 마련
   * 다수 투자자의 매매를 단일 계좌에서 통합 처리(주문·결제)할 목적으로 글로벌 운용사 명의로 개설된 계좌(’17년 도입 후 개설사례 없음)

다. 장외거래 사후신고 범위 확대(제6-7조제1항)
  사전심사 사례 중 심사 필요성이 낮고 시장참여자의 장외거래 수요가 높은 유형들을 사후신고 대상에 적극 포함시켜, 사전심사에 따른 투자자의 부담을 최소화
3. 의견제출
  이 개정안에 대하여 의견이 있는 기관‧단체 또는 개인은 2023년 5월 30일까지 다음 사항을 기재한 의견서를 금융위원회(참조 : 자본시장과)로 제출하여 주시기 바랍니다.
  가. 예고 사항에 대한 찬성 또는 반대 의견(반대 시 이유 명시)
  나. 성명(기관‧단체의 경우 기관‧단체명과 대표자명), 주소 및 전화번호
  다. 보내실 곳 : 금융위원회(자본시장과)
     ◦ 주소 : (03171) 서울시 종로구 세종대로 209 정부서울청사 
     ◦ 전화 : 02-2100-2656
     ◦ 팩스 : 02-2100-2679
     ◦ 이메일 : wtsim@korea.kr
 
※ 자세한 사항은 금융위원회 홈페이지(www.fsc.go.kr/지식마당/법령정보/입법예고)를 참고하시기 바랍니다."
